"Source:","C:\Users\Anton Gale\Documents\exerion\exerion.kicad_sch"
"Date:","9/8/2022 7:40:35 PM"
"Tool:","Eeschema (6.0.7)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","248"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","U10H1","82S126-9 / 6301","arcade:82S126-9","",""
"","","U10J1","74LS157","jt74:74LS157","","http://www.ti.com/lit/gpn/sn74LS157"
"","","U10N1","74LS374","jt74:74LS374","","http://www.ti.com/lit/gpn/sn74LS374"
"","","U10P1","74LS374","jt74:74LS374","","http://www.ti.com/lit/gpn/sn74LS374"
"","","U10R1","74LS193","jt74:74LS193","","http://www.ti.com/lit/gpn/sn74LS193"
"","","U10S1","74LS193","jt74:74LS193","","http://www.ti.com/lit/gpn/sn74LS193"
"","","U10T1","74LS193","jt74:74LS193","","http://www.ti.com/lit/gpn/sn74LS193"
"","","U10U1","74LS138","jt74:74LS138","","http://www.ti.com/lit/gpn/sn74LS138"
"","","U11A1","HM2511-1",":HM2511-1_1","",""
"","","U11B1","HM2511-1","arcade:HM2511-1","",""
"","","U11C1","HM2511-1",":HM2511-1_2","",""
"","","U11D1","HM2511-1",":HM2511-1_2","",""
"","","U11E1","74LS157","jt74:74LS157","","http://www.ti.com/lit/gpn/sn74LS157"
"","","U11H1","74LS161","jt74:74LS161","","http://www.ti.com/lit/gpn/sn74LS161"
"","","U11J1","74LS153","jt74:74LS153","","http://www.ti.com/lit/gpn/sn74LS153"
"","","U11L1","27128","Memory_EPROM:27128","Package_DIP:DIP-28_W15.24mm","http://eeshop.unl.edu/pdf/27128.pdf"
"","","U11M1","74LS157","jt74:74LS157","","http://www.ti.com/lit/gpn/sn74LS157"
"","","U11R1","NEC_UPD2114","Nec:NEC_UPD2114","",""
"","","U11S1","NEC_UPD2114","Nec:NEC_UPD2114","",""
"","","U11T_1","74LS32","jt74:74LS32","","http://www.ti.com/lit/gpn/sn74LS32"
"","","U11U_1","74LS86","jt74:74LS86","","74xx/74ls86.pdf"
"","","U11V1","74LS157","jt74:74LS157","","http://www.ti.com/lit/gpn/sn74LS157"
"","","U12A1","74LS169","jt74:74LS169","","http://www.ti.com/lit/gpn/sn74LS169"
"","","U12B1","74LS169","jt74:74LS169","","http://www.ti.com/lit/gpn/sn74LS169"
"","","U12C1","74LS169","jt74:74LS169","","http://www.ti.com/lit/gpn/sn74LS169"
"","","U12D1","74LS169","jt74:74LS169","","http://www.ti.com/lit/gpn/sn74LS169"
"","","U12E1","74LS169","jt74:74LS169","","http://www.ti.com/lit/gpn/sn74LS169"
"","","U12F1","74LS169","jt74:74LS169","","http://www.ti.com/lit/gpn/sn74LS169"
"","","U12H1","74LS161","jt74:74LS161","","http://www.ti.com/lit/gpn/sn74LS161"
"","","U12J1","74LS157","jt74:74LS157","","http://www.ti.com/lit/gpn/sn74LS157"
"","","U12M1","74LS245","jt74:74LS245","","http://www.ti.com/lit/gpn/sn74LS245"
"","","U12N1","74LS245","jt74:74LS245","","http://www.ti.com/lit/gpn/sn74LS245"
"","","U12P1","74LS374","jt74:74LS374","","http://www.ti.com/lit/gpn/sn74LS374"
"","","U12R1","74LS283","jt74:74LS283","","http://www.ti.com/lit/gpn/sn74LS283"
"","","U12S1","74LS283","jt74:74LS283","","http://www.ti.com/lit/gpn/sn74LS283"
"","","U12T1","74LS298","jt74:74LS298","","http://www.ti.com/lit/gpn/sn74LS298"
"","","U12U1","74LS298","jt74:74LS298","","http://www.ti.com/lit/gpn/sn74LS298"
"","","U56R1","Z80CPUA","CPU:Z80CPU","","www.zilog.com/manage_directlink.php?filepath=docs/z80/um0080"
"","","VOLUME1","1K","Device:R_Potentiometer_US","","~"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","20MHZ*1","Crystal","Device:Crystal","","~"
"2","2","C1, C2","100pF","Device:C_Small","","~"
"3","1","C3","?u","Device:C_Polarized_Small","","~"
"4","1","C4","2.2u","Device:C_Polarized_Small","","~"
"5","1","C5","0.1u","Device:C","","~"
"6","2","C6, C21","10U","Device:C_Polarized_Small","","~"
"7","1","C7",".1u X 8","Device:C_Small","","~"
"8","1","C8",".1u X 6","Device:C_Small","","~"
"9","6","C9, C10, C11, C12, C13, C14",".1u","Device:C_Small","","~"
"10","6","C15, C16, C17, C18, C19, C20","0.1u","Device:C_Small","","~"
"11","2","C22, C23","0.001u","Device:C_Small","","~"
"12","4","D1, D2, D3, D4","D","Device:D","","~"
"13","2","R1, R2","330","Device:R_US","","~"
"14","3","R3, R19, R35","10K","Device:R_US","","~"
"15","7","R4, R9, R10, R11, R12, R20, R36","1K","Device:R_US","","~"
